index,Bowl,Date,Notes,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
698,Gator Bowl,1/1/2008,"Jacksonville, FL",31,28,Texas Tech,Virginia (21),1,1,1,1,1,1
699,Outback Bowl,1/1/2008,"Tampa, FL",21,17,Tennessee (16),Wisconsin (18),1,1,1,1,1,1
700,Rose Bowl,1/1/2008,"Pasadena, CA",49,17,Southern California (6),Illinois (13),1,1,1,1,1,1
701,Sugar Bowl,1/1/2008,"New Orleans, LA",41,10,Georgia (4),Hawaii (10),1,1,1,1,1,1
702,Armed Forces Bowl,12/31/2007,"Fort Worth, TX",42,36,California,Air Force,1,1,1,1,1,1
703,Chick-fil-A Bowl,12/31/2007,"Atlanta, GA",23,20,Auburn (22),Clemson (15),1,1,1,1,1,1
704,Humanitarian Bowl,12/31/2007,"Boise, ID",40,28,Fresno State,Georgia Tech,1,1,1,1,1,1
705,Insight Bowl,12/31/2007,"Tempe, AZ",49,33,Oklahoma State,Indiana,1,1,1,1,1,1
706,Music City Bowl,12/31/2007,"Nashville, TN",35,28,Kentucky,Florida State,1,1,1,1,1,1
707,Sun Bowl,12/31/2007,"El Paso, TX",56,21,Oregon,South Florida (23),1,1,1,1,1,1
708,Independence Bowl,12/30/2007,"Shreveport, LA",30,24,Alabama,Colorado,1,1,1,1,1,1
709,Alamo Bowl,12/29/2007,"San Antonio, TX",24,17,Penn State,Texas A&M,1,1,1,1,1,1
710,Liberty Bowl,12/29/2007,"Memphis, TN",10,3,Mississippi State,Central Florida,1,1,1,1,1,1
711,Meineke Car Care Bowl,12/29/2007,"Charlotte, NC",24,10,Wake Forest,Connecticut,1,1,1,1,1,1
712,Champs Sports Bowl,12/28/2007,"Orlando, FL",24,21,Boston College (14),Michigan State,1,1,1,1,1,1
713,Emerald Bowl,12/28/2007,"San Francisco, CA",21,14,Oregon State,Maryland,1,1,1,1,1,1
714,Texas Bowl,12/28/2007,"Houston, TX",20,13,Texas Christian,Houston,1,1,1,1,1,1
715,Holiday Bowl,12/27/2007,"San Diego, CA",52,34,Texas (17),Arizona State (12),1,1,1,1,1,1
716,Motor City Bowl,12/26/2007,"Detroit, MI",51,48,Purdue,Central Michigan,1,1,1,1,1,1
717,Hawaii Bowl,12/23/2007,"Honolulu, HI",41,38,East Carolina,Boise State (24),1,1,1,1,1,1
718,Las Vegas Bowl,12/22/2007,"Las Vegas, NV",17,16,Brigham Young (19),UCLA,1,1,1,1,1,1
719,New Mexico Bowl,12/22/2007,"Albuquerque, NM",23,0,New Mexico,Nevada,1,1,1,1,1,1
720,PapaJohns.com Bowl,12/22/2007,"Birmingham, AL",31,21,Cincinnati (20),Southern Mississippi,1,1,1,1,1,1
721,New Orleans Bowl,12/21/2007,"New Orleans, LA",44,27,Florida Atlantic,Memphis,1,1,1,1,1,1
722,Poinsettia Bowl,12/20/2007,"San Diego, CA",35,32,Utah,Navy,1,1,1,1,1,1
723,BCS Championship,1/8/2009,"Miami, FL",24,14,Florida (1),Oklahoma (2),1,1,1,1,1,1
724,GMAC Bowl,1/6/2009,"Mobile, AL",45,13,Tulsa,Ball State (23),1,1,1,1,1,1
725,Fiesta Bowl,1/5/2009,"Glendale, AZ",24,21,Texas (3),Ohio State (10),1,1,1,1,1,1
726,International Bowl,1/3/2009,"Toronto, Canada",38,20,Connecticut,Buffalo,1,1,1,1,1,1
727,Sugar Bowl,1/2/2009,"New Orleans, LA",31,17,Utah (7),Alabama (4),1,1,1,1,1,1
728,Cotton Bowl,1/2/2009,"Dallas, TX",47,34,Mississippi (20),Texas Tech (8),1,1,1,1,1,1
729,Liberty Bowl,1/2/2009,"Memphis, TN",25,19,Kentucky,East Carolina,1,1,1,1,1,1
730,Orange Bowl,1/1/2009,"Miami, FL",20,7,Virginia Tech (21),Cincinnati (12),1,1,1,1,1,1
731,Rose Bowl,1/1/2009,"Pasadena, CA",38,24,Southern California (5),Penn State (6),1,1,1,1,1,1
732,Capital One Bowl,1/1/2009,"Orlando, FL",24,12,Georgia (16),Michigan State (19),1,1,1,1,1,1
733,Gator Bowl,1/1/2009,"Jacksonville, FL",26,21,Nebraska,Clemson,1,1,1,1,1,1
734,Outback Bowl,1/1/2009,"Tampa, FL",31,10,Iowa,South Carolina,1,1,1,1,1,1
735,Chick-fil-A Bowl,12/31/2008,"Atlanta, GA",38,3,Louisiana State,Georgia Tech (14),1,1,1,1,1,1
736,Insight Bowl,12/31/2008,"Glendale, AZ",42,21,Kansas,Minnesota,1,1,1,1,1,1
737,Music City Bowl,12/31/2008,"Nashville, TN",16,14,Vanderbilt,Boston College,1,1,1,1,1,1
738,Sun Bowl,12/31/2008,"El Paso, TX",3,0,Oregon State (24),Pittsburgh (18),1,1,1,1,1,1
739,Armed Forces Bowl,12/31/2008,"Fort Worth, TX",34,28,Houston,Air Force,1,1,1,1,1,1
740,Holiday Bowl,12/30/2008,"San Diego, CA",42,31,Oregon (15),Oklahoma State (13),1,1,1,1,1,1
741,Texas Bowl,12/30/2008,"Houston, TX",38,14,Rice,Western Michigan,1,1,1,1,1,1
742,Humanitarian Bowl,12/30/2008,"Boise, ID",42,35,Maryland,Nevada,1,1,1,1,1,1
743,Alamo Bowl,12/29/2008,"San Antonio, TX",30,23,Missouri (25),Northwestern (22),1,1,1,1,1,1
744,PapaJohns.com Bowl,12/29/2008,"Birmingham, AL",29,23,Rutgers,North Carolina State,1,1,1,1,1,1
745,Independence Bowl,12/28/2008,"Shreveport, LA",17,10,Louisiana Tech,Northern Illinois,1,1,1,1,1,1
746,Emerald Bowl,12/27/2008,"San Francisco, CA",24,17,California,Miami (FL),1,1,1,1,1,1
747,Champs Sports Bowl,12/27/2008,"Orlando, FL",42,13,Florida State,Wisconsin,1,1,1,1,1,1
748,Meineke Car Care Bowl,12/27/2008,"Charlotte, NC",31,30,West Virginia,North Carolina,1,1,1,1,1,1
749,Motor City Bowl,12/26/2008,"Detroit, MI",24,21,Florida Atlantic,Central Michigan,1,1,1,1,1,1
750,Hawaii Bowl,12/24/2008,"Honolulu, HI",49,21,Notre Dame,Hawaii,1,1,1,1,1,1
751,Poinsettia Bowl,12/23/2008,"San Diego, CA",17,16,Texas Christian (11),Boise State (9),1,1,1,1,1,1
752,New Orleans Bowl,12/21/2008,"New Orleans, LA",30,27,Southern Mississippi,Troy,1,1,1,1,1,1
753,Las Vegas Bowl,12/20/2008,"Las Vegas, NV",31,21,Arizona,Brigham Young (17),1,1,1,1,1,1
754,St. Petersburg Bowl,12/20/2008,"St. Petersburg, FL",41,14,South Florida,Memphis,1,1,1,1,1,1
755,New Mexico Bowl,12/20/2008,"Albuquerque, NM",40,35,Colorado State,Fresno State,1,1,1,1,1,1
756,EagleBank Bowl,12/20/2008,"Washington, DC",29,19,Wake Forest,Navy,1,1,1,1,1,1
757,BCS Championship,1/7/2010,"Pasadena, CA",37,21,Alabama (1),Texas (2),1,1,1,1,1,1
758,GMAC Bowl,1/6/2010,"Mobile, AL",44,41,Central Michigan (25),Troy,1,1,1,1,1,1
759,Orange Bowl,1/5/2010,"Miami, FL",24,14,Iowa (10),Georgia Tech (9),1,1,1,1,1,1
760,Fiesta Bowl,1/4/2010,"Glendale, AZ",17,10,Boise State (6),Texas Christian (3),1,1,1,1,1,1
761,Alamo Bowl,1/2/2010,"San Antonio, TX",41,31,Texas Tech,Michigan State,1,1,1,1,1,1
762,Cotton Bowl,1/2/2010,"Arlington, TX",21,7,Mississippi,Oklahoma State (21),1,1,1,1,1,1
763,International Bowl,1/2/2010,"Toronto, Canada",27,3,South Florida,Northern Illinois,1,1,1,1,1,1
764,Liberty Bowl,1/2/2010,"Memphis, TN",20,17,Arkansas,East Carolina,1,1,1,1,1,1
765,PapaJohns.com Bowl,1/2/2010,"Birmingham, AL",20,7,Connecticut,South Carolina,1,1,1,1,1,1
766,Outback Bowl,1/1/2010,"Tampa, FL",38,35,Auburn,Northwestern,1,1,1,1,1,1
767,Capital One Bowl,1/1/2010,"Orlando, FL",19,17,Penn State (11),Louisiana State (13),1,1,1,1,1,1
768,Gator Bowl,1/1/2010,"Jacksonville, FL",33,21,Florida State,West Virginia (18),1,1,1,1,1,1
769,Rose Bowl,1/1/2010,"Pasadena, CA",26,17,Ohio State (8),Oregon (7),1,1,1,1,1,1
770,Sugar Bowl,1/1/2010,"New Orleans, LA",51,24,Florida (5),Cincinnati (4),1,1,1,1,1,1
771,Texas Bowl,12/31/2009,"Houston, TX",35,13,Navy,Missouri,1,1,1,1,1,1
772,Sun Bowl,12/31/2009,"El Paso, TX",31,27,Oklahoma,Stanford (19),1,1,1,1,1,1
773,Armed Forces Bowl,12/31/2009,"Fort Worth, TX",47,20,Air Force,Houston,1,1,1,1,1,1
774,Chick-fil-A Bowl,12/31/2009,"Atlanta, GA",37,14,Virginia Tech (12),Tennessee,1,1,1,1,1,1
775,Insight Bowl,12/31/2009,"Tempe, AZ",14,13,Iowa State,Minnesota,1,1,1,1,1,1
776,Holiday Bowl,12/30/2009,"San Diego, CA",33,0,Nebraska (20),Arizona (22),1,1,1,1,1,1
777,Humanitarian Bowl,12/30/2009,"Boise, ID",43,42,Idaho,Bowling Green State,1,1,1,1,1,1
778,Champs Sports Bowl,12/29/2009,"Orlando, FL",20,14,Wisconsin (24),Miami (FL) (14),1,1,1,1,1,1
779,EagleBank Bowl,12/29/2009,"Washington, DC",30,21,UCLA,Temple,1,1,1,1,1,1
780,Independence Bowl,12/28/2009,"Shreveport, LA",44,20,Georgia,Texas A&M,1,1,1,1,1,1
781,Music City Bowl,12/27/2009,"Nashville, TN",21,13,Clemson,Kentucky,1,1,1,1,1,1
782,Little Caesars Bowl,12/26/2009,"Detroit, MI",21,17,Marshall,Ohio,1,1,1,1,1,1
783,Emerald Bowl,12/26/2009,"San Francisco, CA",24,13,Southern California,Boston College,1,1,1,1,1,1
784,Meineke Car Care Bowl,12/26/2009,"Charlotte, NC",19,17,Pittsburgh (17),North Carolina,1,1,1,1,1,1
785,Hawaii Bowl,12/24/2009,"Honolulu, HI",45,10,Southern Methodist,Nevada,1,1,1,1,1,1
786,Poinsettia Bowl,12/23/2009,"San Diego, CA",37,27,Utah (23),California,1,1,1,1,1,1
787,Las Vegas Bowl,12/22/2009,"Las Vegas, NV",44,20,Brigham Young (15),Oregon State (16),1,1,1,1,1,1
788,New Orleans Bowl,12/20/2009,"New Orleans, LA",42,32,Middle Tennessee State,Southern Mississippi,1,1,1,1,1,1
789,New Mexico Bowl,12/19/2009,"Albuquerque, NM",35,28,Wyoming,Fresno State,1,1,1,1,1,1
790,St. Petersburg Bowl,12/19/2009,"St. Petersburg, FL",45,24,Rutgers,Central Florida,1,1,1,1,1,1
791,BCS Championship,1/10/2011,"Glendale, AZ",22,19,Auburn (1),Oregon (2),1,1,1,1,1,1
792,Fight Hunger Bowl,1/9/2011,"San Francisco, CA",20,13,Nevada (13),Boston College,1,1,1,1,1,1
793,BBVA Compass Bowl,1/8/2011,"Birmingham, AL",27,10,Pittsburgh,Kentucky,1,1,1,1,1,1
794,Cotton Bowl,1/7/2011,"Arlington, TX",41,24,Louisiana State (11),Texas A&M (18),1,1,1,1,1,1
795,GoDaddy.com Bowl,1/6/2011,"Mobile, AL",35,21,Miami (OH),Middle Tennessee State,1,1,1,1,1,1
796,Sugar Bowl,1/4/2011,"New Orleans, LA",31,26,Ohio State (6),Arkansas (8),1,1,1,1,1,1
797,Orange Bowl,1/3/2011,"Miami, FL",40,12,Stanford (5),Virginia Tech (12),1,1,1,1,1,1
798,Capital One Bowl,1/1/2011,"Orlando, FL",49,7,Alabama (15),Michigan State (7),1,1,1,1,1,1
799,Outback Bowl,1/1/2011,"Tampa, FL",37,24,Florida,Penn State,1,1,1,1,1,1
800,Fiesta Bowl,1/1/2011,"Glendale, AZ",48,20,Oklahoma (9),Connecticut (25),1,1,1,1,1,1
801,Gator Bowl,1/1/2011,"Jacksonville, FL",52,14,Mississippi State (21),Michigan,1,1,1,1,1,1
802,Rose Bowl,1/1/2011,"Pasadena, CA",21,19,Texas Christian (3),Wisconsin (4),1,1,1,1,1,1
803,Ticket City Bowl,1/1/2011,"Dallas, TX",45,38,Texas Tech,Northwestern,1,1,1,1,1,1
804,Sun Bowl,12/31/2010,"El Paso, TX",33,17,Notre Dame,Miami (FL),1,1,1,1,1,1
805,Meineke Car Care Bowl,12/31/2010,"Charlotte, NC",31,26,South Florida,Clemson,1,1,1,1,1,1
806,Chick-fil-A Bowl,12/31/2010,"Atlanta, GA",26,17,Florida State (23),South Carolina (19),1,1,1,1,1,1
807,Liberty Bowl,12/31/2010,"Memphis, TN",10,6,Central Florida,Georgia,1,1,1,1,1,1
808,Holiday Bowl,12/30/2010,"San Diego, CA",19,7,Washington,Nebraska (17),1,1,1,1,1,1
809,Armed Forces Bowl,12/30/2010,"Fort Worth, TX",16,14,Army,Southern Methodist,1,1,1,1,1,1
810,Music City Bowl,12/30/2010,"Nashville, TN",30,27,North Carolina,Tennessee,1,1,1,1,1,1
811,Pinstripe Bowl,12/30/2010,"Bronx, NY",36,34,Syracuse,Kansas State,1,1,1,1,1,1
812,Texas Bowl,12/29/2010,"Houston, TX",38,14,Illinois,Baylor,1,1,1,1,1,1
813,Military Bowl,12/29/2010,"Washington, DC",51,20,Maryland,East Carolina,1,1,1,1,1,1
814,Alamo Bowl,12/29/2010,"San Antonio, TX",36,10,Oklahoma State (16),Arizona,1,1,1,1,1,1
815,Insight Bowl,12/28/2010,"Tempe, AZ",27,24,Iowa,Missouri (14),1,1,1,1,1,1
816,Champs Sports Bowl,12/28/2010,"Orlando, FL",23,7,North Carolina State,West Virginia (22),1,1,1,1,1,1
817,Independence Bowl,12/27/2010,"Shreveport, LA",14,7,Air Force,Georgia Tech,1,1,1,1,1,1
818,Little Caesars Bowl,12/26/2010,"Detroit, MI",34,32,Florida International,Toledo,1,1,1,1,1,1
819,Hawaii Bowl,12/24/2010,"Honolulu, HI",62,35,Tulsa,Hawaii (24),1,1,1,1,1,1
820,Poinsettia Bowl,12/23/2010,"San Diego, CA",35,14,San Diego State,Navy,1,1,1,1,1,1
821,Maaco Bowl,12/22/2010,"Las Vegas, NV",26,3,Boise State (10),Utah (20),1,1,1,1,1,1
822,Beef O'Brady's Bowl,12/21/2010,"St. Petersburg, FL",31,28,Louisville,Southern Mississippi,1,1,1,1,1,1
823,Humanitarian Bowl,12/18/2010,"Boise, ID",40,17,Northern Illinois,Fresno State,1,1,1,1,1,1
824,New Mexico Bowl,12/18/2010,"Albuquerque, NM",52,24,Brigham Young,Texas-El Paso,1,1,1,1,1,1
825,New Orleans Bowl,12/18/2010,"New Orleans, LA",48,21,Troy,Ohio,1,1,1,1,1,1
826,BCS Championship,1/9/2012,"New Orleans, LA",21,0,Alabama (2),Louisiana State (1),1,1,1,1,1,1
827,GoDaddy.com Bowl,1/8/2012,"Mobile, AL",38,20,Northern Illinois,Arkansas State,1,1,1,1,1,1
828,BBVA Compass Bowl,1/7/2012,"Birmingham, AL",28,6,Southern Methodist,Pittsburgh,1,1,1,1,1,1
829,Cotton Bowl,1/6/2012,"Arlington, TX",29,16,Arkansas (7),Kansas State (11),1,1,1,1,1,1
830,Orange Bowl,1/4/2012,"Miami, FL",70,33,West Virginia (23),Clemson (14),1,1,1,1,1,1
831,Sugar Bowl,1/3/2012,"New Orleans, LA",23,20,Michigan (13),Virginia Tech (17),1,1,1,1,1,1
832,Fiesta Bowl,1/2/2012,"Glendale, AZ",41,38,Oklahoma State (3),Stanford (4),1,1,1,1,1,1
833,Rose Bowl,1/2/2012,"Pasadena, CA",45,38,Oregon (6),Wisconsin (9),1,1,1,1,1,1
834,Outback Bowl,1/2/2012,"Tampa, FL",33,30,Michigan State (12),Georgia (18),1,1,1,1,1,1
835,Ticket City Bowl,1/2/2012,"Dallas, TX",30,14,Houston (20),Penn State (24),1,1,1,1,1,1
836,Capital One Bowl,1/2/2012,"Orlando, FL",30,13,South Carolina (10),Nebraska (21),1,1,1,1,1,1
837,Gator Bowl,1/2/2012,"Jacksonville, FL",24,17,Florida,Ohio State,1,1,1,1,1,1
838,Chick-fil-A Bowl,12/31/2011,"Atlanta, GA",43,24,Auburn,Virginia,1,1,1,1,1,1
839,Fight Hunger Bowl,12/31/2011,"San Francisco, CA",20,14,Illinois,UCLA,1,1,1,1,1,1
840,Sun Bowl,12/31/2011,"El Paso, TX",30,27,Utah,Georgia Tech,1,1,1,1,1,1
841,Meineke Car Care Bowl of Texas,12/31/2011,"Houston, TX",33,22,Texas A&M,Northwestern,1,1,1,1,1,1
842,Liberty Bowl,12/31/2011,"Memphis, TN",31,24,Cincinnati,Vanderbilt,1,1,1,1,1,1
843,Music City Bowl,12/30/2011,"Nashville, TN",23,17,Mississippi State,Wake Forest,1,1,1,1,1,1
844,Pinstripe Bowl,12/30/2011,"Bronx, NY",27,13,Rutgers,Iowa State,1,1,1,1,1,1
845,Armed Forces Bowl,12/30/2011,"Dallas, TX",24,21,Brigham Young,Tulsa,1,1,1,1,1,1
846,Insight Bowl,12/30/2011,"Tempe, AZ",31,14,Oklahoma (19),Iowa,1,1,1,1,1,1
847,Alamo Bowl,12/29/2011,"San Antonio, TX",67,56,Baylor (15),Washington,1,1,1,1,1,1
848,Champs Sports Bowl,12/29/2011,"Orlando, FL",18,14,Florida State (25),Notre Dame,1,1,1,1,1,1
849,Military Bowl,12/28/2011,"Washington, DC",42,41,Toledo,Air Force,1,1,1,1,1,1
850,Holiday Bowl,12/28/2011,"San Diego, CA",21,10,Texas,California,1,1,1,1,1,1
851,Little Caesars Bowl,12/27/2011,"Detroit, MI",37,32,Purdue,Western Michigan,1,1,1,1,1,1
852,Belk Bowl,12/27/2011,"Charlotte, NC",31,24,North Carolina State,Louisville,1,1,1,1,1,1
853,Independence Bowl,12/26/2011,"Shreveport, LA",41,24,Missouri,North Carolina,1,1,1,1,1,1
854,Hawaii Bowl,12/24/2011,"Honolulu, HI",24,17,Southern Mississippi (22),Nevada,1,1,1,1,1,1
855,Maaco Bowl,12/22/2011,"Las Vegas, NV",56,24,Boise State (8),Arizona State,1,1,1,1,1,1
856,Poinsettia Bowl,12/21/2011,"San Diego, CA",31,24,Texas Christian (16),Louisiana Tech,1,1,1,1,1,1
857,Beef O'Brady's Bowl,12/20/2011,"St. Petersburg, FL",20,10,Marshall,Florida International,1,1,1,1,1,1
858,Famous Idaho Potato Bowl,12/17/2011,"Boise, ID",24,23,Ohio,Utah State,1,1,1,1,1,1
859,New Mexico Bowl,12/17/2011,"Albuquerque, NM",37,15,Temple,Wyoming,1,1,1,1,1,1
860,New Orleans Bowl,12/17/2011,"New Orleans, LA",32,30,Louisiana,San Diego State,1,1,1,1,1,1
861,BCS Championship,1/7/2013,"Miami, FL",42,14,Alabama (2),Notre Dame (1),1,1,1,1,1,1
862,GoDaddy.com Bowl,1/6/2013,"Mobile, AL",17,13,Arkansas State,Kent State (25),1,1,1,1,1,1
863,BBVA Compass Bowl,1/5/2013,"Birmingham, AL",38,17,Mississippi,Pittsburgh,1,1,1,1,1,1
864,Cotton Bowl,1/4/2013,"Arlington, TX",41,13,Texas A&M (10),Oklahoma (12),1,1,1,1,1,1
865,Fiesta Bowl,1/3/2013,"Glendale, AZ",35,17,Oregon (5),Kansas State (7),1,1,1,1,1,1
866,Sugar Bowl,1/2/2013,"New Orleans, LA",33,23,Louisville (22),Florida (4),1,1,1,1,1,1
867,Capital One Bowl,1/1/2013,"Orlando, FL",45,31,Georgia (6),Nebraska (23),1,1,1,1,1,1
868,Gator Bowl,1/1/2013,"Jacksonville, FL",34,20,Northwestern (21),Mississippi State,1,1,1,1,1,1
869,Heart of Dallas Bowl,1/1/2013,"Dallas, TX",58,14,Oklahoma State,Purdue,1,1,1,1,1,1
870,Orange Bowl,1/1/2013,"Miami, FL",31,10,Florida State (13),Northern Illinois (16),1,1,1,1,1,1
871,Outback Bowl,1/1/2013,"Tampa, FL",33,28,South Carolina (11),Michigan (19),1,1,1,1,1,1
872,Rose Bowl,1/1/2013,"Pasadena, CA",20,14,Stanford (8),Wisconsin,1,1,1,1,1,1
873,Chick-fil-A Bowl,12/31/2012,"Atlanta, GA",25,24,Clemson (14),Louisiana State (9),1,1,1,1,1,1
874,Liberty Bowl,12/31/2012,"Memphis, TN",31,17,Tulsa,Iowa State,1,1,1,1,1,1
875,Music City Bowl,12/31/2012,"Nashville, TN",38,24,Vanderbilt,North Carolina State,1,1,1,1,1,1
876,Sun Bowl,12/31/2012,"El Paso, TX",21,7,Georgia Tech,Southern California,1,1,1,1,1,1
877,Alamo Bowl,12/29/2012,"San Antonio, TX",31,27,Texas,Oregon State (15),1,1,1,1,1,1
878,Armed Forces Bowl,12/29/2012,"Fort Worth, TX",33,14,Rice,Air Force,1,1,1,1,1,1
879,Buffalo Wild Wings Bowl,12/29/2012,"Phoenix, AZ",17,16,Michigan State,Texas Christian,1,1,1,1,1,1
880,Fight Hunger Bowl,12/29/2012,"San Francisco, CA",62,28,Arizona State,Navy,1,1,1,1,1,1
881,Pinstripe Bowl,12/29/2012,"New York, NY",38,14,Syracuse,West Virginia,1,1,1,1,1,1
882,Independence Bowl,12/28/2012,"Shreveport, LA",45,14,Ohio,Louisiana-Monroe,1,1,1,1,1,1
883,Meineke Car Care Bowl of Texas,12/28/2012,"Houston, TX",34,31,Texas Tech,Minnesota,1,1,1,1,1,1
884,Russell Athletic Bowl,12/28/2012,"Orlando, FL",13,10,Virginia Tech,Rutgers,1,1,1,1,1,1
885,Belk Bowl,12/27/2012,"Charlotte, NC",48,34,Cincinnati,Duke,1,1,1,1,1,1
886,Holiday Bowl,12/27/2012,"San Diego, CA",49,26,Baylor,UCLA (17),1,1,1,1,1,1
887,Military Bowl,12/27/2012,"Washington, DC",29,20,San Jose State (24),Bowling Green State,1,1,1,1,1,1
888,Little Caesars Bowl,12/26/2012,"Detroit, MI",24,21,Central Michigan,Western Kentucky,1,1,1,1,1,1
889,Hawaii Bowl,12/24/2012,"Honolulu, HI",43,10,Southern Methodist,Fresno State,1,1,1,1,1,1
890,Las Vegas Bowl,12/22/2012,"Las Vegas, NV",28,26,Boise State (20),Washington,1,1,1,1,1,1
891,New Orleans Bowl,12/22/2012,"New Orleans, LA",43,34,Louisiana,East Carolina,1,1,1,1,1,1
892,Beef O'Brady's Bowl,12/21/2012,"St. Petersburg, FL",38,17,Central Florida,Ball State,1,1,1,1,1,1
893,Poinsettia Bowl,12/20/2012,"San Diego, CA",23,6,Brigham Young,San Diego State,1,1,1,1,1,1
894,Famous Idaho Potato Bowl,12/15/2012,"Boise, ID",41,15,Utah State (18),Toledo,1,1,1,1,1,1
895,New Mexico Bowl,12/15/2012,"Albuquerque, NM",49,48,Arizona,Nevada,1,1,1,1,1,1
896,BCS Championship,1/6/2014,"Pasadena, CA",34,31,Florida State (1),Auburn (2),1,1,1,1,1,1
897,GoDaddy.com Bowl,1/5/2014,"Mobile, AL",23,20,Arkansas State,Ball State,1,1,1,1,1,1
898,BBVA Compass Bowl,1/4/2014,"Birmingham, AL",41,24,Vanderbilt,Houston,1,1,1,1,1,1
899,Orange Bowl,1/3/2014,"Miami Gardens, FL",40,35,Clemson (12),Ohio State (7),1,1,1,1,1,1
900,Cotton Bowl,1/3/2014,"Arlington, TX",41,31,Missouri (9),Oklahoma State (13),1,1,1,1,1,1
901,Sugar Bowl,1/2/2014,"New Orleans, LA",45,31,Oklahoma (11),Alabama (3),1,1,1,1,1,1
902,Fiesta Bowl,1/1/2014,"Glendale, AZ",52,42,Central Florida (15),Baylor (6),1,1,1,1,1,1
903,Rose Bowl,1/1/2014,"Pasadena, CA",24,20,Michigan State (4),Stanford (5),1,1,1,1,1,1
904,Capital One Bowl,1/1/2014,"Orlando, FL",34,24,South Carolina (8),Wisconsin (19),1,1,1,1,1,1
905,Outback Bowl,1/1/2014,"Tampa, FL",21,14,Louisiana State (14),Iowa,1,1,1,1,1,1
906,Gator Bowl,1/1/2014,"Jacksonville, FL",24,19,Nebraska,Georgia (23),1,1,1,1,1,1
907,Heart of Dallas Bowl,1/1/2014,"Dallas, TX",36,14,North Texas,Nevada-Las Vegas,1,1,1,1,1,1
908,Chick-fil-A Bowl,12/31/2013,"Atlanta, GA",52,48,Texas A&M (20),Duke (22),1,1,1,1,1,1
909,Liberty Bowl,12/31/2013,"Memphis, TN",44,7,Mississippi State,Rice,1,1,1,1,1,1
910,Sun Bowl,12/31/2013,"El Paso, TX",42,12,UCLA (17),Virginia Tech,1,1,1,1,1,1
911,Independence Bowl,12/31/2013,"Shreveport, LA",42,19,Arizona,Boston College,1,1,1,1,1,1
912,Holiday Bowl,12/30/2013,"San Diego, CA",37,23,Texas Tech,Arizona State (16),1,1,1,1,1,1
913,Alamo Bowl,12/30/2013,"San Antonio, TX",30,7,Oregon (10),Texas,1,1,1,1,1,1
914,Music City Bowl,12/30/2013,"Nashville, TN",25,17,Mississippi,Georgia Tech,1,1,1,1,1,1
915,Armed Forces Bowl,12/30/2013,"Fort Worth, TX",24,6,Navy,Middle Tennessee State,1,1,1,1,1,1
916,Buffalo Wild Wings Bowl,12/28/2013,"Tempe, AZ",31,14,Kansas State,Michigan,1,1,1,1,1,1
917,Russell Athletic Bowl,12/28/2013,"Orlando, FL",36,9,Louisville (18),Miami (FL),1,1,1,1,1,1
918,Belk Bowl,12/28/2013,"Charlotte, NC",39,17,North Carolina,Cincinnati,1,1,1,1,1,1
919,Pinstripe Bowl,12/28/2013,"Bronx, NY",29,16,Notre Dame (25),Rutgers,1,1,1,1,1,1
920,Fight Hunger Bowl,12/27/2013,"San Francisco, CA",31,16,Washington,Brigham Young,1,1,1,1,1,1
921,Texas Bowl,12/27/2013,"Houston, TX",21,17,Syracuse,Minnesota,1,1,1,1,1,1
922,Military Bowl,12/27/2013,"Annapolis, MD",31,20,Marshall,Maryland,1,1,1,1,1,1
923,Poinsettia Bowl,12/26/2013,"San Diego, CA",21,14,Utah State,Northern Illinois (24),1,1,1,1,1,1
924,Little Caesars Bowl,12/26/2013,"Detroit, MI",30,27,Pittsburgh,Bowling Green State,1,1,1,1,1,1
925,Hawaii Bowl,12/24/2013,"Honolulu, HI",38,23,Oregon State,Boise State,1,1,1,1,1,1
926,Beef O'Brady's Bowl,12/23/2013,"St. Petersburg, FL",37,20,East Carolina,Ohio,1,1,1,1,1,1
927,New Orleans Bowl,12/21/2013,"New Orleans, LA",24,21,Louisiana,Tulane,1,1,1,1,1,1
928,Famous Idaho Potato Bowl,12/21/2013,"Boise, ID",49,24,San Diego State,Buffalo,1,1,1,1,1,1
929,Las Vegas Bowl,12/21/2013,"Las Vegas, NV",45,20,Southern California,Fresno State (21),1,1,1,1,1,1
930,New Mexico Bowl,12/21/2013,"Albuquerque, NM",48,45,Colorado State,Washington State,1,1,1,1,1,1
931,College Football Championship,1/12/2015,"Arlington, TX",42,20,Ohio State,Oregon,1,1,1,1,1,1
932,GoDaddy Bowl,1/4/2015,"Mobile, AL",63,44,Toledo,Arkansas State,1,1,1,1,1,1
933,Birmingham Bowl,1/3/2015,"Birmingham, AL",28,20,Florida,East Carolina,1,1,1,1,1,1
934,Cactus Bowl,1/2/2015,"Tempe, AZ",30,22,Oklahoma State,Washington,1,1,1,1,1,1
935,Alamo Bowl,1/2/2015,"San Antonio, TX",40,35,UCLA,Kansas State,1,1,1,1,1,1
936,TaxSlayer Bowl,1/2/2015,"Jacksonville, FL",45,28,Tennessee,Iowa,1,1,1,1,1,1
937,Armed Forces Bowl,1/2/2015,"Fort Worth, TX",35,34,Houston,Pittsburgh,1,1,1,1,1,1
938,Sugar Bowl,1/1/2015,"New Orleans, LA",42,35,Ohio State,Alabama,1,1,1,1,1,1
