index,Bowl,Date,Notes,points1,points2,team1,team2,stadiumlat,stadiumlng,team1lat,team1lng,team2lat,team2lng
514,Micron PC Bowl,12/28/2000,"Miami, FL",38,30,North Carolina State,Minnesota,1,1,1,1,1,1
515,Music City Bowl,12/28/2000,"Nashville, TN",49,38,West Virginia,Mississippi,1,1,1,1,1,1
516,Gallery Furniture Bowl,12/27/2000,"Houston, TX",40,27,East Carolina,Texas Tech,1,1,1,1,1,1
517,Motor City Bowl,12/27/2000,"Detroit, MI",25,14,Marshall,Cincinnati,1,1,1,1,1,1
518,Aloha Classic,12/25/2000,"Honolulu, HI",31,17,Boston College,Arizona State,1,1,1,1,1,1
519,Oahu Classic,12/24/2000,"Honolulu, HI",37,14,Georgia (24),Virginia,1,1,1,1,1,1
520,Las Vegas Bowl,12/21/2000,"Las Vegas, NV",31,14,Nevada-Las Vegas,Arkansas,1,1,1,1,1,1
521,Mobile Alabama Bowl,12/20/2000,"Mobile, AL",28,21,Southern Mississippi,Texas Christian (13),1,1,1,1,1,1
522,Rose Bowl,1/3/2002,"Pasadena, CA",37,14,Miami (FL) (1),Nebraska (4),1,1,1,1,1,1
523,Orange Bowl,1/2/2002,"Miami, FL",56,23,Florida (5),Maryland (6),1,1,1,1,1,1
524,Citrus Bowl,1/1/2002,"Orlando, FL",45,17,Tennessee (8),Michigan (17),1,1,1,1,1,1
525,Cotton Bowl,1/1/2002,"Dallas, TX",10,3,Oklahoma (10),Arkansas,1,1,1,1,1,1
526,Fiesta Bowl,1/1/2002,"Tempe, AZ",38,16,Oregon (2),Colorado (3),1,1,1,1,1,1
527,Gator Bowl,1/1/2002,"Jacksonville, FL",30,17,Florida State (24),Virginia Tech (15),1,1,1,1,1,1
528,Outback Bowl,1/1/2002,"Tampa, FL",31,28,South Carolina (14),Ohio State (22),1,1,1,1,1,1
529,Sugar Bowl,1/1/2002,"New Orleans, LA",47,34,Louisiana State (12),Illinois (7),1,1,1,1,1,1
530,Humanitarian Bowl,12/31/2001,"Boise, ID",49,24,Clemson,Louisiana Tech,1,1,1,1,1,1
531,Liberty Bowl,12/31/2001,"Memphis, TN",28,10,Louisville (23),Brigham Young (19),1,1,1,1,1,1
532,Peach Bowl,12/31/2001,"Atlanta, GA",16,10,North Carolina,Auburn,1,1,1,1,1,1
533,Silicon Valley Bowl,12/31/2001,"San Jose, CA",44,35,Michigan State,Fresno State (20),1,1,1,1,1,1
534,Sun Bowl,12/31/2001,"El Paso, TX",33,27,Washington State (13),Purdue,1,1,1,1,1,1
535,Alamo Bowl,12/29/2001,"San Antonio, TX",19,16,Iowa,Texas Tech,1,1,1,1,1,1
536,Insight Bowl,12/29/2001,"Phoenix, AZ",26,3,Syracuse (18),Kansas State,1,1,1,1,1,1
537,Motor City Bowl,12/29/2001,"Pontiac, MI",23,16,Toledo (25),Cincinnati,1,1,1,1,1,1
